"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"THBS2","THBS2",1.9061454329717,7.96389914085975,1.2250670900378e-12,3.86198086517902e-11,"cid1 - cid0"
"HCK","HCK",1.11072938220224,9.36567182509992,1.36521219389224e-12,4.2293234504904e-11,"cid1 - cid0"
"TCEA3","TCEA3",-1.01881899311356,9.99230210126206,1.43261900044651e-12,4.39242118957541e-11,"cid1 - cid0"
"SELENBP1","SELENBP1",-1.05511598602976,11.2924912650109,1.63123067784455e-12,4.90080814051754e-11,"cid1 - cid0"
"DOCK8","DOCK8",1.05497802232737,9.43645626732766,2.01280490509456e-12,5.92784286687881e-11,"cid1 - cid0"
"MMP1","MMP1",1.86655007255876,11.7648059903859,2.01989612068693e-12,5.9292229404951e-11,"cid1 - cid0"
"RCSD1","RCSD1",1.12858804831437,8.17074662921781,2.17856589752022e-12,6.33269496120081e-11,"cid1 - cid0"
"MMP9","MMP9",1.28323765541393,10.9137380319782,2.21692951616524e-12,6.38204821807954e-11,"cid1 - cid0"
"CA4","CA4",-1.37702639614418,10.724907439086,2.26767343032102e-12,6.5072051992513e-11,"cid1 - cid0"
"CSF3","CSF3",2.70081540673248,6.728781300329,2.2877472269093e-12,6.5438341605492e-11,"cid1 - cid0"
"PDPN","PDPN",1.56142912392326,7.21759237309071,2.32701345883691e-12,6.59295933448319e-11,"cid1 - cid0"
"FAP","FAP",1.59233188608287,7.18682118206345,2.47717281958609e-12,6.93066507929821e-11,"cid1 - cid0"
"NCF2","NCF2",1.42360348204566,9.11636946015974,2.499970814213e-12,6.9510058073444e-11,"cid1 - cid0"
"MFSD4A","MFSD4A",-1.62446077732982,8.62365174321693,2.77640323379297e-12,7.57839577809405e-11,"cid1 - cid0"
"VSIG2","VSIG2",-1.01795686304638,9.8671999716514,3.30984729877183e-12,8.84569040773259e-11,"cid1 - cid0"
"MME","MME",1.25619948715472,7.64774591382857,4.38318526672473e-12,1.1309123254463e-10,"cid1 - cid0"
"LCP2","LCP2",1.18294019015817,9.68862472629881,5.95098421311655e-12,1.44780330597914e-10,"cid1 - cid0"
"VIPR1","VIPR1",-1.15266002709713,8.58341727697938,6.49997423382013e-12,1.56436207837074e-10,"cid1 - cid0"
"ATOH1","ATOH1",-1.44486858340762,7.83768144898678,6.69966143417959e-12,1.60189372079848e-10,"cid1 - cid0"
"PDE4B","PDE4B",1.22022482250243,9.39809334410365,6.86051960087266e-12,1.6264187076226e-10,"cid1 - cid0"
"SOCS3","SOCS3",1.19257554775443,8.69692037618906,7.30425471707652e-12,1.69857123329834e-10,"cid1 - cid0"
"FCER1G","FCER1G",1.10499886279275,9.51193899498333,8.38134760834905e-12,1.87127693609848e-10,"cid1 - cid0"
"SAMSN1","SAMSN1",1.12636721077596,8.79539731147638,8.43186341836565e-12,1.87787246727929e-10,"cid1 - cid0"
