"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"SUMO1","SUMO1",-0.108471666664293,10.3940200585651,0.0269996027370194,0.0495491912475069,"cid1 - cid0"
"EIF1AD","EIF1AD",0.140595874942937,7.74210003714944,0.0270021784984459,0.0495491912475069,"cid1 - cid0"
"ACRBP","ACRBP",0.326947818904424,6.36359068364361,0.0270797497861509,0.0496813524252887,"cid1 - cid0"
"SYNCRIP","SYNCRIP",0.119964119396926,8.20669647528187,0.0271053856233027,0.0497181965755848,"cid1 - cid0"
"APOL2","APOL2",0.218455677942201,7.57032337828256,0.0272541159978358,0.0499807661877558,"cid1 - cid0"
"ZNF518B","ZNF518B",0.188942885494551,8.12949623333216,0.0273147130537206,0.050081635463846,"cid1 - cid0"
"PPP1R13L","PPP1R13L",-0.188457769392548,8.3986020871424,0.0273550743633971,0.0501453687091511,"cid1 - cid0"
"KPTN","KPTN",0.16019528967194,7.38666671922295,0.027398658147656,0.0502149818620193,"cid1 - cid0"
"PRPF4B","PRPF4B",-0.0850405553201661,9.95366164942525,0.0274582947816068,0.0503139814121419,"cid1 - cid0"
"TFRC","TFRC",-0.170944051512699,11.8236737698716,0.0274675821091215,0.0503207003525608,"cid1 - cid0"
"DEFA6","DEFA6",-1.04910848301067,9.12596392419893,0.0275115490555366,0.0503909367214033,"cid1 - cid0"
"RPAP2","RPAP2",0.153864437778783,7.18927482326233,0.0275471257160431,0.0504457796145908,"cid1 - cid0"
"SMARCA2","SMARCA2",0.140673411798012,9.44892009633811,0.027616467095479,0.0505624192036448,"cid1 - cid0"
"ADNP","ADNP",-0.0882019466396908,9.82469786386537,0.0276379606872838,0.0505914254821615,"cid1 - cid0"
"NMI","NMI",0.171671249467778,10.5361882141284,0.0276665124998794,0.0506333373694645,"cid1 - cid0"
"PIM3","PIM3",-0.140008584898249,10.8787351078001,0.0276760257773968,0.0506403962364671,"cid1 - cid0"
"CCT2","CCT2",-0.19498686261362,10.3606718108743,0.0279492046200893,0.0511297974997261,"cid1 - cid0"
"POLR2G","POLR2G",-0.122059696864451,10.3495493486344,0.0279560015266366,0.0511317837932538,"cid1 - cid0"
"FURIN","FURIN",0.144180336982485,9.02290351896427,0.0279644563377559,0.0511368009787435,"cid1 - cid0"
"PIAS4","PIAS4",-0.312626746275178,6.89781565965694,0.0280248774320224,0.0512368241063706,"cid1 - cid0"
"NUFIP2","NUFIP2",0.0859460396423604,9.51723708577434,0.028064151760755,0.051298152452846,"cid1 - cid0"
"SART1","SART1",0.0920115936325772,8.8404943635914,0.028146783413215,0.0514386919572391,"cid1 - cid0"
"TMEM106A","TMEM106A",0.212312643033479,7.53935421607707,0.0281769637263004,0.0514833380084831,"cid1 - cid0"
"C7orf13","C7orf13",-0.213568039832087,6.93105176831317,0.0282003951650226,0.0515156371990302,"cid1 - cid0"
"RASA2","RASA2",0.18779663563207,7.7046843665866,0.0282275316579397,0.0515546901129201,"cid1 - cid0"
"ZNF211","ZNF211",0.184738502528193,7.28899953194973,0.0282597382359633,0.0516029851981601,"cid1 - cid0"
"FXR2","FXR2",0.144271757498309,8.39611313264231,0.0282960200832127,0.0516587006127658,"cid1 - cid0"
"DBR1","DBR1",-0.150206132640911,7.52496494051798,0.0284258743114975,0.0518851891357465,"cid1 - cid0"
"VPS33A","VPS33A",-0.307542482882012,6.73018081605807,0.0284656312026528,0.0519471659513556,"cid1 - cid0"
